,FG%.1_AVG,PTS.1_AVG,+/-_players_AVG,DRtg_players_AVG,winning_rate,y
427,0.0017999999999999,-0.9000000000000057,-3.690979166,-1.4970485999999994,0.1153605019999999,1
215,-0.0151999999999999,-10.5,0.6904374999999998,-4.077715299999993,-0.33227345,0
541,-0.0297,4.299999999999997,-4.651368055,5.7472152999999935,-0.234924158,1
758,-0.0377,-13.400000000000004,4.345159722,-5.473722199999983,-0.126190476,0
1126,-0.0458999999999999,-0.7000000000000028,-3.757625,-6.615159800000002,0.166666667,1
775,0.0229999999999999,15.900000000000004,-6.755395834,13.2019236,-0.255026455,0
584,-0.0565,-5.6000000000000085,2.569520832,-9.2373542,-0.196048632,1
623,0.003,3.9000000000000057,-1.2281666670000009,-3.2945416999999964,-0.0381578949999999,0
705,-0.0198,-4.0,6.902104165999999,-2.609861199999969,0.24047619,0
24,0.0236999999999999,7.0,-6.440486111,6.097298699999968,0.0209595959999999,0
484,-0.0213999999999999,-2.200000000000003,3.0513055559999995,-1.6800069000000093,0.0543478259999999,1
521,0.0203999999999999,-1.9000000000000057,-0.636743055,-6.556152800000022,-0.280100334,0
867,0.0363,8.400000000000006,-2.311055555,6.134034700000014,0.157809984,1
777,0.0435999999999999,2.5999999999999943,-5.088368055,1.4457291000000223,-0.345905172,0
1003,0.0407,6.299999999999998,-1.938916667,6.140805599999979,-0.061538462,0
828,0.0281,16.39999999999999,-6.483902777000001,7.943340299999988,-0.18956044,0
971,0.003,-7.900000000000006,-0.514729166,0.4249306000000104,-0.1527777779999999,0
916,-0.0192999999999999,0.2999999999999972,0.0006527779999996,-0.4842222999999989,-0.087301587,0
528,-0.017,1.9000000000000057,3.0263611110000004,1.280499999999989,0.028562461,1
646,-0.034,-9.400000000000006,5.476409723000001,-9.962826300000016,0.1304347829999999,1
231,0.009,-0.7999999999999972,7.252194444,0.3440208000000098,0.1809762689999999,1
130,-0.076,-14.400000000000004,-0.864479166,-12.295034699999988,-0.014689795,0
101,0.0015,1.1000000000000083,-3.5313055560000004,3.1950833000000074,-0.0234538149999999,1
401,-0.0385,-7.900000000000006,0.6501041659999993,-10.469187500000004,-0.0385964909999999,1
89,0.0625,5.399999999999992,-10.952020833,9.710659700000008,-0.360718871,1
809,-0.0004,-2.5999999999999943,6.335319445,-5.550263899999976,0.161290323,0
746,0.0192999999999999,8.099999999999994,1.103583333,2.9812916999999857,0.123873874,0
73,-0.0044,-0.7999999999999972,-0.8470555559999999,-3.2966944000000065,0.073170732,1
880,-0.0269999999999999,-3.0,2.931708333,1.455513900000028,0.178030303,1
914,-0.0101999999999999,6.799999999999998,0.8414791670000001,5.991638899999997,0.1690476189999999,1
157,-0.0432,-1.2999999999999972,6.065041667000001,1.854972199999992,0.11055611,0
